"id","category","priority","installed","referenced_in_source","reference_count","source_references","missing_dependencies","dependency_status"
"core.rollback","Core","critical","True","True","2","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault","MISSING"
"core.trust_ledger","Core","critical","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault","MISSING"
"core.vault","Core","critical","True","True","14","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\modules\devices\device-deep-scan.mjs ; C:\Users\user\brianco-backend-clean\src\modules\devices\device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\devices\firmware-awareness.mjs ; C:\Users\user\brianco-backend-clean\src\modules\founder\founder-command-center.mjs ; C:\Users\user\brianco-backend-clean\src\modules\graph\knowledge-graph.mjs ; C:\Users\user\brianco-backend-clean\src\modules\learning\learning-engine.mjs ; C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\drone-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs ; C:\Users\user\brianco-backend-clean\src\modules\search\search-engine.mjs ; C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","","PASS"
"development.api_intelligence","Development","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","code_intelligence","MISSING"
"development.cloudflare_awareness","Development","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault ; code_intelligence","MISSING"
"development.code_intelligence","Development","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","learning_engine ; knowledge_graph","MISSING"
"development.pipeline_intelligence","Development","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","code_intelligence","MISSING"
"development.supabase_awareness","Development","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault ; code_intelligence","MISSING"
"development.testing_playwright","Development","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","code_intelligence","MISSING"
"device.3d_scanners","device","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.cad_cam","device","high","True","False","0","","","PASS"
"device.ecg","device","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.eeg","device","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.emg","device","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.eye_tracking","device","high","True","False","0","","","PASS"
"device.imaging_systems","device","high","True","False","0","","","PASS"
"device.industrial_iot","device","high","True","False","0","","","PASS"
"device.particle_instruments","device","high","True","False","0","","","PASS"
"device.sequencing","device","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.thermal_imaging","device","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.aerospace_test_equipment","Devices","high","True","False","0","","","PASS"
"device.agriculture_research","Devices","high","True","False","0","","","PASS"
"device.cameras","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","","PASS"
"device.chemistry_instruments","Devices","high","True","False","0","","","PASS"
"device.chromatographs","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.driver_awareness","Devices","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","hardware_awareness","MISSING"
"device.drones","Devices","high","True","True","3","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\drone-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","hardware_awareness ; research","MISSING"
"device.environmental_sensors","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.firmware_awareness","Devices","medium","True","True","3","C:\Users\user\brianco-backend-clean\src\modules\devices\firmware-awareness.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","hardware_awareness","MISSING"
"device.genomics","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.geology_mining","Devices","high","True","False","0","","","PASS"
"device.hardware_awareness","Devices","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\devices\device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","learning_engine","MISSING"
"device.lidar","Devices","high","True","True","4","C:\Users\user\brianco-backend-clean\src\modules\research\drone-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs ; C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","","PASS"
"device.manufacturing_metrology","Devices","high","True","False","0","","","PASS"
"device.medical_devices","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs","","PASS"
"device.microscopes","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.motion_capture","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.nanorobotics","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"device.nanotechnology","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"device.oceanographic","Devices","high","True","False","0","","","PASS"
"device.physics_instruments","Devices","high","True","False","0","","","PASS"
"device.radar","Devices","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs ; C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","","PASS"
"device.robotics","Devices","high","True","True","4","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs ; C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","hardware_awareness ; research","MISSING"
"device.scientific_instruments","Devices","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","hardware_awareness ; knowledge_graph","MISSING"
"device.sonar","Devices","high","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs ; C:\Users\user\brianco-backend-clean\src\modules\sensors\sensor-intelligence.mjs","","PASS"
"device.spectrometers","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.telescopes","Devices","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","","PASS"
"device.test_equipment","Devices","high","True","False","0","","","PASS"
"device.vr_ar","Devices","high","True","False","0","","","PASS"
"digital_twin.buildings","digital_twin","high","True","False","0","","","PASS"
"digital_twin.businesses","digital_twin","high","True","False","0","","","PASS"
"digital_twin.cities","digital_twin","high","True","False","0","","","PASS"
"digital_twin.factories","digital_twin","high","True","False","0","","","PASS"
"digital_twin.farms","digital_twin","high","True","False","0","","","PASS"
"digital_twin.fleets","digital_twin","high","True","False","0","","","PASS"
"digital_twin.hospitals","digital_twin","high","True","False","0","","","PASS"
"digital_twin.laboratories","digital_twin","high","True","False","0","","","PASS"
"digital_twin.organizations","digital_twin","high","True","False","0","","","PASS"
"digital_twin.people","digital_twin","high","True","False","0","","","PASS"
"digital_twin.products","digital_twin","high","True","True","2","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js","","PASS"
"digital_twin.research_programs","digital_twin","high","True","False","0","","","PASS"
"digital_twin.satellites","digital_twin","high","True","False","0","","","PASS"
"digital_twin.supply_chains","digital_twin","high","True","False","0","","","PASS"
"digital_twin.vehicles","digital_twin","high","True","False","0","","","PASS"
"digital_twin.warehouses","digital_twin","high","True","False","0","","","PASS"
"education.adaptive_learning_ai","education","high","True","False","0","","","PASS"
"education.competency_tracking","education","high","True","False","0","","","PASS"
"education.continuing_education","education","high","True","False","0","","","PASS"
"education.corporate_training","education","high","True","False","0","","","PASS"
"education.course_authoring","education","high","True","False","0","","","PASS"
"education.higher_education","education","high","True","False","0","","","PASS"
"education.k12_learning","education","high","True","False","0","","","PASS"
"education.learning_paths","education","high","True","False","0","","","PASS"
"education.mentor_marketplace","education","high","True","False","0","","","PASS"
"education.professional_certifications","education","high","True","False","0","","","PASS"
"education.research_libraries","education","high","True","False","0","","","PASS"
"education.simulation_learning","education","high","True","False","0","","","PASS"
"education.skill_mapping","education","high","True","False","0","","","PASS"
"education.trade_schools","education","high","True","False","0","","","PASS"
"education.tutor_marketplace","education","high","True","False","0","","","PASS"
"education.vr_learning","education","high","True","False","0","","","PASS"
"experience.accessibility","experience","high","True","True","4","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js ; C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"experience.captioning","experience","high","True","False","0","","","PASS"
"experience.command_center","experience","high","True","True","4","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\lumen.mjs ; C:\Users\user\brianco-backend-clean\src\modules\founder\founder-command-center.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"experience.concierge","experience","high","True","True","2","C:\Users\user\brianco-backend-clean\src\brianco-human-interaction-memory.js ; C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs","","PASS"
"experience.dashboard_designer","Experience","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","guided_experience","MISSING"
"experience.founder_command_center","Experience","critical","True","True","4","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\lumen.mjs ; C:\Users\user\brianco-backend-clean\src\modules\founder\founder-command-center.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault ; module_registry ; search","MISSING"
"experience.guided_experience","Experience","critical","True","True","3","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\lumen.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault","MISSING"
"experience.livestreaming","experience","high","True","False","0","","","PASS"
"experience.localization","experience","high","True","True","3","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","","PASS"
"experience.transcription","experience","high","True","False","0","","","PASS"
"experience.translation","experience","high","True","False","0","","","PASS"
"experience.tutorial_builder","Experience","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","guided_experience","MISSING"
"experience.voice_assistant","experience","high","True","False","0","","","PASS"
"experience.voice_manager","Experience","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","vault","MISSING"
"experience.website_designer","Experience","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","guided_experience","MISSING"
"future.3d_images","Future","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","ar_vr","MISSING"
"future.ar_vr","Future","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","guided_experience","MISSING"
"future.autonomous_systems","future","high","True","False","0","","","PASS"
"future.browser_layer","Future","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","search ; guided_experience","MISSING"
"future.digital_twins","Future","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","knowledge_graph","MISSING"
"future.emoji_language","Future","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","guided_experience","MISSING"
"future.nanorobotics","Future","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","nanotechnology","MISSING"
"future.nanotechnology","Future","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","research","MISSING"
"future.quantum_computing","future","high","True","False","0","","","PASS"
"future.synthetic_biology","future","high","True","False","0","","","PASS"
"healthcare.appointment_intelligence","healthcare","high","True","False","0","","","PASS"
"healthcare.care_coordination","healthcare","high","True","False","0","","","PASS"
"healthcare.claims_assistance","healthcare","high","True","False","0","","","PASS"
"healthcare.clinical_trial_portal","healthcare","high","True","False","0","","","PASS"
"healthcare.health_education","healthcare","high","True","False","0","","","PASS"
"healthcare.insurance_intelligence","healthcare","high","True","False","0","","","PASS"
"healthcare.lab_results","healthcare","high","True","False","0","","","PASS"
"healthcare.medical_device_portal","healthcare","high","True","False","0","","","PASS"
"healthcare.medical_imaging","healthcare","high","True","False","0","","","PASS"
"healthcare.medication_tracking","healthcare","high","True","False","0","","","PASS"
"healthcare.patient_portal","healthcare","high","True","False","0","","","PASS"
"healthcare.preventive_care_intelligence","healthcare","high","True","False","0","","","PASS"
"healthcare.provider_portal","healthcare","high","True","False","0","","","PASS"
"healthcare.research_portal","healthcare","high","True","False","0","","","PASS"
"healthcare.telehealth","healthcare","high","True","False","0","","","PASS"
"human.benefits_assistance","human","high","True","False","0","","","PASS"
"human.caregiver_intelligence","human","high","True","False","0","","","PASS"
"human.child_development_intelligence","human","high","True","False","0","","","PASS"
"human.crisis_assistance","human","high","True","False","0","","","PASS"
"human.elder_care_intelligence","human","high","True","False","0","","","PASS"
"human.emergency_planning","human","high","True","False","0","","","PASS"
"human.family_management","human","high","True","False","0","","","PASS"
"human.food_nutrition_intelligence","human","high","True","False","0","","","PASS"
"human.goal_tracking","human","high","True","False","0","","","PASS"
"human.government_program_discovery","human","high","True","False","0","","","PASS"
"human.habit_systems","human","high","True","False","0","","","PASS"
"human.housing_intelligence","human","high","True","False","0","","","PASS"
"human.life_event_intelligence","human","high","True","False","0","","","PASS"
"human.personal_life_management","human","high","True","False","0","","","PASS"
"human.preparedness_planning","human","high","True","False","0","","","PASS"
"human.transportation_intelligence","human","high","True","False","0","","","PASS"
"human.wellness_planning","human","high","True","False","0","","","PASS"
"image_editor.advanced_editing","image_editor","high","True","False","0","","","PASS"
"image_editor.ai_editing","image_editor","high","True","False","0","","","PASS"
"image_editor.authenticity_labels","image_editor","high","True","False","0","","","PASS"
"image_editor.background_removal","image_editor","high","True","False","0","","","PASS"
"image_editor.background_replacement","image_editor","high","True","False","0","","","PASS"
"image_editor.basic_editing","image_editor","high","True","False","0","","","PASS"
"image_editor.batch_processing","image_editor","high","True","False","0","","","PASS"
"image_editor.brand_templates","image_editor","high","True","False","0","","","PASS"
"image_editor.crop_resize","image_editor","high","True","False","0","","","PASS"
"image_editor.fake_edit_detection","image_editor","high","True","False","0","","","PASS"
"image_editor.filters_effects","image_editor","high","True","False","0","","","PASS"
"image_editor.format_conversion","image_editor","high","True","False","0","","","PASS"
"image_editor.generative_fill","image_editor","high","True","False","0","","","PASS"
"image_editor.image_to_image","image_editor","high","True","False","0","","","PASS"
"image_editor.layers","image_editor","high","True","False","0","","","PASS"
"image_editor.masks","image_editor","high","True","False","0","","","PASS"
"image_editor.meme_templates","image_editor","high","True","False","0","","","PASS"
"image_editor.metadata_review","image_editor","high","True","False","0","","","PASS"
"image_editor.object_removal","image_editor","high","True","False","0","","","PASS"
"image_editor.retouching","image_editor","high","True","False","0","","","PASS"
"image_editor.social_templates","image_editor","high","True","False","0","","","PASS"
"image_editor.sticker_templates","image_editor","high","True","False","0","","","PASS"
"image_editor.text_to_image","image_editor","high","True","False","0","","","PASS"
"image_editor.watermarking","image_editor","high","True","False","0","","","PASS"
"industry.construction","Industries","medium","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs","universal_professions","MISSING"
"industry.education","Industries","medium","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs","universal_professions","MISSING"
"industry.energy","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.engineering","Industries","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.environmental","Industries","medium","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","universal_professions","MISSING"
"industry.faith_religious","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.finance","Industries","medium","True","True","2","C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.government","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.hospitality","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.legal","Industries","medium","True","True","6","C:\Users\user\brianco-backend-clean\src\brianco-eloquent-tone-engine.js ; C:\Users\user\brianco-backend-clean\src\brianco-greencheck-approvals.js ; C:\Users\user\brianco-backend-clean\src\brianco-realtime-theme-chatbot-bridge.js ; C:\Users\user\brianco-backend-clean\src\brianco-typo-intelligence.js ; C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.manufacturing","Industries","medium","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","universal_professions","MISSING"
"industry.nonprofit_community","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.public_safety","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.research","Industries","high","True","True","5","C:\Users\user\brianco-backend-clean\src\modules\medical\medical-device-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\drone-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs","universal_professions","MISSING"
"industry.retail","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.software_technology","Industries","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.space","Industries","medium","True","True","2","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs ; C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs","universal_professions","MISSING"
"industry.transportation","Industries","medium","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","universal_professions","MISSING"
"industry.universal_professions","Industries","high","True","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs","module_registry ; knowledge_graph","MISSING"
"intelligence.calibration_engine","Intelligence","critical","True","False","0","","","PASS"
"intelligence.compatibility_engine","Intelligence","critical","True","False","0","","","PASS"
