"id","category","priority","implemented","match_count","matched_files"
"commerce.product_lifecycle_management","commerce","high","False","0",""
"commerce.product_research","commerce","high","False","0",""
"commerce.quality_assurance","commerce","high","False","0",""
"commerce.supplier_discovery","commerce","high","False","0",""
"commerce.vendor_intelligence","commerce","high","False","0",""
"commerce.warehouse_intelligence","commerce","high","False","0",""
"communication.accessible_emoji_descriptions","communication","high","False","0",""
"communication.emoji_language","communication","high","False","0",""
"communication.emoji_translation","communication","high","False","0",""
"communication.gif_messaging","communication","high","False","0",""
"communication.meme_messaging","communication","high","False","0",""
"communication.reaction_packs","communication","high","False","0",""
"communication.sticker_messaging","communication","high","False","0",""
"communication.visual_reactions","communication","high","False","0",""
"core.approval_gates","Core","critical","False","0",""
"core.module_registry","Core","critical","True","1","C:\Users\user\brianco-backend-clean\src\modules\registry\module-registry.mjs"
"core.orchestrator","Core","critical","False","0",""
"core.reports","Core","high","False","0",""
"core.rollback","Core","critical","False","0",""
"core.trust_ledger","Core","critical","False","0",""
"core.vault","Core","critical","False","0",""
"development.api_intelligence","Development","high","False","0",""
"development.cloudflare_awareness","Development","high","False","0",""
"development.code_intelligence","Development","high","False","0",""
"development.pipeline_intelligence","Development","high","False","0",""
"development.supabase_awareness","Development","high","False","0",""
"development.testing_playwright","Development","high","False","0",""
"device.3d_scanners","device","high","False","0",""
"device.cad_cam","device","high","False","0",""
"device.ecg","device","high","False","0",""
"device.eeg","device","high","False","0",""
"device.emg","device","high","False","0",""
"device.eye_tracking","device","high","False","0",""
"device.imaging_systems","device","high","False","0",""
"device.industrial_iot","device","high","False","0",""
"device.particle_instruments","device","high","False","0",""
"device.sequencing","device","high","False","0",""
"device.thermal_imaging","device","high","False","0",""
"device.aerospace_test_equipment","Devices","high","False","0",""
"device.agriculture_research","Devices","high","False","0",""
"device.cameras","Devices","high","False","0",""
"device.chemistry_instruments","Devices","high","False","0",""
"device.chromatographs","Devices","high","False","0",""
"device.driver_awareness","Devices","high","False","0",""
"device.drones","Devices","high","False","0",""
"device.environmental_sensors","Devices","high","False","0",""
"device.firmware_awareness","Devices","medium","True","1","C:\Users\user\brianco-backend-clean\src\modules\devices\firmware-awareness.mjs"
"device.genomics","Devices","high","False","0",""
"device.geology_mining","Devices","high","False","0",""
"device.hardware_awareness","Devices","high","False","0",""
"device.lidar","Devices","high","False","0",""
"device.manufacturing_metrology","Devices","high","False","0",""
"device.medical_devices","Devices","high","False","0",""
"device.microscopes","Devices","high","False","0",""
"device.motion_capture","Devices","high","False","0",""
"device.nanorobotics","Devices","high","False","0",""
"device.nanotechnology","Devices","high","False","0",""
"device.oceanographic","Devices","high","False","0",""
"device.physics_instruments","Devices","high","False","0",""
"device.radar","Devices","high","False","0",""
"device.robotics","Devices","high","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\robotics-intelligence.mjs"
"device.scientific_instruments","Devices","high","True","1","C:\Users\user\brianco-backend-clean\src\modules\research\scientific-instruments.mjs"
"device.sonar","Devices","high","False","0",""
"device.spectrometers","Devices","high","False","0",""
"device.telescopes","Devices","high","False","0",""
"device.test_equipment","Devices","high","False","0",""
"device.vr_ar","Devices","high","False","0",""
"digital_twin.buildings","digital_twin","high","False","0",""
"digital_twin.businesses","digital_twin","high","False","0",""
"digital_twin.cities","digital_twin","high","False","0",""
"digital_twin.factories","digital_twin","high","False","0",""
"digital_twin.farms","digital_twin","high","False","0",""
"digital_twin.fleets","digital_twin","high","False","0",""
"digital_twin.hospitals","digital_twin","high","False","0",""
"digital_twin.laboratories","digital_twin","high","False","0",""
"digital_twin.organizations","digital_twin","high","False","0",""
"digital_twin.people","digital_twin","high","False","0",""
"digital_twin.products","digital_twin","high","False","0",""
"digital_twin.research_programs","digital_twin","high","False","0",""
"digital_twin.satellites","digital_twin","high","False","0",""
"digital_twin.supply_chains","digital_twin","high","False","0",""
"digital_twin.vehicles","digital_twin","high","False","0",""
"digital_twin.warehouses","digital_twin","high","False","0",""
"education.adaptive_learning_ai","education","high","False","0",""
"education.competency_tracking","education","high","False","0",""
"education.continuing_education","education","high","False","0",""
"education.corporate_training","education","high","False","0",""
"education.course_authoring","education","high","False","0",""
"education.higher_education","education","high","False","0",""
"education.k12_learning","education","high","False","0",""
"education.learning_paths","education","high","False","0",""
"education.mentor_marketplace","education","high","False","0",""
"education.professional_certifications","education","high","False","0",""
"education.research_libraries","education","high","False","0",""
"education.simulation_learning","education","high","False","0",""
"education.skill_mapping","education","high","False","0",""
"education.trade_schools","education","high","False","0",""
"education.tutor_marketplace","education","high","False","0",""
"education.vr_learning","education","high","False","0",""
"experience.accessibility","experience","high","False","0",""
"experience.captioning","experience","high","False","0",""
"experience.command_center","experience","high","True","1","C:\Users\user\brianco-backend-clean\src\modules\founder\founder-command-center.mjs"
"experience.concierge","experience","high","False","0",""
"experience.dashboard_designer","Experience","high","False","0",""
"experience.founder_command_center","Experience","critical","True","1","C:\Users\user\brianco-backend-clean\src\modules\founder\founder-command-center.mjs"
"experience.guided_experience","Experience","critical","True","1","C:\Users\user\brianco-backend-clean\src\lumen-guided-experience-studio.mjs"
"experience.livestreaming","experience","high","False","0",""
"experience.localization","experience","high","False","0",""
"experience.transcription","experience","high","False","0",""
"experience.translation","experience","high","False","0",""
"experience.tutorial_builder","Experience","high","False","0",""
"experience.voice_assistant","experience","high","False","0",""
"experience.voice_manager","Experience","high","False","0",""
"experience.website_designer","Experience","high","False","0",""
"future.3d_images","Future","medium","False","0",""
"future.ar_vr","Future","medium","False","0",""
"future.autonomous_systems","future","high","False","0",""
"future.browser_layer","Future","high","False","0",""
"future.digital_twins","Future","high","False","0",""
"future.emoji_language","Future","medium","False","0",""
"future.nanorobotics","Future","medium","False","0",""
"future.nanotechnology","Future","medium","False","0",""
"future.quantum_computing","future","high","False","0",""
"future.synthetic_biology","future","high","False","0",""
"healthcare.appointment_intelligence","healthcare","high","False","0",""
"healthcare.care_coordination","healthcare","high","False","0",""
"healthcare.claims_assistance","healthcare","high","False","0",""
"healthcare.clinical_trial_portal","healthcare","high","False","0",""
"healthcare.health_education","healthcare","high","False","0",""
"healthcare.insurance_intelligence","healthcare","high","False","0",""
"healthcare.lab_results","healthcare","high","False","0",""
"healthcare.medical_device_portal","healthcare","high","False","0",""
"healthcare.medical_imaging","healthcare","high","False","0",""
"healthcare.medication_tracking","healthcare","high","False","0",""
"healthcare.patient_portal","healthcare","high","False","0",""
"healthcare.preventive_care_intelligence","healthcare","high","False","0",""
"healthcare.provider_portal","healthcare","high","False","0",""
"healthcare.research_portal","healthcare","high","False","0",""
"healthcare.telehealth","healthcare","high","False","0",""
"human.benefits_assistance","human","high","False","0",""
"human.caregiver_intelligence","human","high","False","0",""
"human.child_development_intelligence","human","high","False","0",""
"human.crisis_assistance","human","high","False","0",""
"human.elder_care_intelligence","human","high","False","0",""
"human.emergency_planning","human","high","False","0",""
"human.family_management","human","high","False","0",""
"human.food_nutrition_intelligence","human","high","False","0",""
"human.goal_tracking","human","high","False","0",""
"human.government_program_discovery","human","high","False","0",""
"human.habit_systems","human","high","False","0",""
"human.housing_intelligence","human","high","False","0",""
"human.life_event_intelligence","human","high","False","0",""
"human.personal_life_management","human","high","False","0",""
"human.preparedness_planning","human","high","False","0",""
"human.transportation_intelligence","human","high","False","0",""
"human.wellness_planning","human","high","False","0",""
"image_editor.advanced_editing","image_editor","high","False","0",""
"image_editor.ai_editing","image_editor","high","False","0",""
"image_editor.authenticity_labels","image_editor","high","False","0",""
"image_editor.background_removal","image_editor","high","False","0",""
"image_editor.background_replacement","image_editor","high","False","0",""
"image_editor.basic_editing","image_editor","high","False","0",""
"image_editor.batch_processing","image_editor","high","False","0",""
"image_editor.brand_templates","image_editor","high","False","0",""
"image_editor.crop_resize","image_editor","high","False","0",""
"image_editor.fake_edit_detection","image_editor","high","False","0",""
"image_editor.filters_effects","image_editor","high","False","0",""
"image_editor.format_conversion","image_editor","high","False","0",""
"image_editor.generative_fill","image_editor","high","False","0",""
"image_editor.image_to_image","image_editor","high","False","0",""
"image_editor.layers","image_editor","high","False","0",""
"image_editor.masks","image_editor","high","False","0",""
"image_editor.meme_templates","image_editor","high","False","0",""
"image_editor.metadata_review","image_editor","high","False","0",""
"image_editor.object_removal","image_editor","high","False","0",""
"image_editor.retouching","image_editor","high","False","0",""
"image_editor.social_templates","image_editor","high","False","0",""
"image_editor.sticker_templates","image_editor","high","False","0",""
"image_editor.text_to_image","image_editor","high","False","0",""
"image_editor.watermarking","image_editor","high","False","0",""
"industry.construction","Industries","medium","False","0",""
"industry.education","Industries","medium","False","0",""
"industry.energy","Industries","medium","False","0",""
"industry.engineering","Industries","high","False","0",""
"industry.environmental","Industries","medium","False","0",""
"industry.faith_religious","Industries","medium","False","0",""
"industry.finance","Industries","medium","False","0",""
"industry.government","Industries","medium","False","0",""
"industry.hospitality","Industries","medium","False","0",""
"industry.legal","Industries","medium","False","0",""
"industry.manufacturing","Industries","medium","False","0",""
"industry.nonprofit_community","Industries","medium","False","0",""
"industry.public_safety","Industries","medium","False","0",""
"industry.research","Industries","high","False","0",""
"industry.retail","Industries","medium","False","0",""
"industry.software_technology","Industries","high","False","0",""
"industry.space","Industries","medium","False","0",""
"industry.transportation","Industries","medium","False","0",""
"industry.universal_professions","Industries","high","False","0",""
"intelligence.calibration_engine","Intelligence","critical","False","0",""
"intelligence.compatibility_engine","Intelligence","critical","False","0",""
"intelligence.cross_vetted_abstracts","Intelligence","high","False","0",""
"intelligence.decision_engine","intelligence","high","False","0",""
"intelligence.documentation_engine","Intelligence","critical","False","0",""
"intelligence.file_format_engine","Intelligence","high","False","0",""
"intelligence.forecasting_engine","intelligence","high","False","0",""
"intelligence.inventory_engine","Intelligence","critical","False","0",""
"intelligence.knowledge_graph","Intelligence","critical","True","1","C:\Users\user\brianco-backend-clean\src\modules\graph\knowledge-graph.mjs"
"intelligence.learning_engine","Intelligence","critical","True","1","C:\Users\user\brianco-backend-clean\src\modules\learning\learning-engine.mjs"
"intelligence.maintenance_engine","Intelligence","critical","False","0",""
"intelligence.orchestration_engine","intelligence","high","False","0",""
"intelligence.reasoning_engine","intelligence","high","False","0",""
"intelligence.recommendation_engine","intelligence","high","False","0",""
"intelligence.report_engine","intelligence","high","False","0",""
"intelligence.research","Intelligence","high","False","0",""
"intelligence.research_engine","intelligence","high","False","0",""
"intelligence.risk_engine","intelligence","high","False","0",""
"intelligence.simulation_engine","intelligence","high","False","0",""
"intelligence.universal_search","Intelligence","critical","False","0",""
"intelligence.update_engine","Intelligence","critical","False","0",""
"intelligence.vetted_sources","Intelligence","high","False","0",""
"intelligence.workflow_engine","intelligence","high","False","0",""
"localization.global_holidays","Localization","medium","False","0",""
"localization.language_dialect","Localization","critical","False","0",""
"media.ai_production_studio","media","high","False","0",""
"media.caption_studio","media","high","False","0",""
"media.content_intelligence","media","high","False","0",""
"media.creator_marketplace","media","high","False","0",""
"media.gif_generator","media","high","False","0",""
"media.image_accessibility_alt_text","media","high","False","0",""
"media.image_context_reader","media","high","False","0",""
"media.image_safety_review","media","high","False","0",""
"media.licensing_marketplace","media","high","False","0",""
"media.meme_generator","media","high","False","0",""
"media.meme_reader","media","high","False","0",""
"media.music_platform","media","high","False","0",""
"media.news_intelligence","media","high","False","0",""
"media.podcast_platform","media","high","False","0",""
"media.publishing_platform","media","high","False","0",""
"media.sponsor_marketplace","media","high","False","0",""
"media.sticker_generator","media","high","False","0",""
"media.translation_studio","media","high","False","0",""
"media.video_platform","media","high","False","0",""
"media.visual_captioning","media","high","False","0",""
"media.voice_studio","media","high","False","0",""
"public.civic_intelligence","public","high","False","0",""
"public.community_resources","public","high","False","0",""
"public.disaster_response","public","high","False","0",""
"public.elections_intelligence","public","high","False","0",""
"public.emergency_management","public","high","False","0",""
"public.government_services","public","high","False","0",""
"public.grant_programs","public","high","False","0",""
"public.licensing_intelligence","public","high","False","0",""
"public.municipal_services","public","high","False","0",""
"public.permit_intelligence","public","high","False","0",""
"public.public_safety","public","high","False","0",""
"public.regulatory_tracking","public","high","False","0",""
"research.agricultural_science","research","high","False","0",""
"research.astronomy","research","high","False","0",""
"research.astrophysics","research","high","False","0",""
"research.biology","research","high","False","0",""
"research.biomedical_research","research","high","False","0",""
"research.biotechnology","research","high","False","0",""
"research.climate_science","research","high","False","0",""
"research.clinical_research","research","high","False","0",""
"research.energy_systems","research","high","False","0",""
"research.environmental_science","research","high","False","0",""
"research.fusion_research","research","high","False","0",""
"research.genetic_engineering","research","high","False","0",""
"research.materials_science","research","high","False","0",""
"research.neuroscience","research","high","False","0",""
"research.nuclear_research","research","high","False","0",""
"research.ocean_science","research","high","False","0",""
"research.particle_physics","research","high","False","0",""
"research.pharmaceutical_research","research","high","False","0",""
"research.psychology","research","high","False","0",""
"research.semiconductor_research","research","high","False","0",""
"research.space_research","research","high","False","0",""
"security.audit_intelligence","security","high","False","0",""
"security.authentication_intelligence","security","high","False","0",""
"security.authorization_intelligence","security","high","False","0",""
"security.compliance_intelligence","security","high","False","0",""
"security.data_governance","security","high","False","0",""
"security.digital_forensics","security","high","False","0",""
"security.identity_intelligence","security","high","False","0",""
"security.incident_response","security","high","False","0",""
"security.privacy_management","security","high","False","0",""
"security.threat_intelligence","security","high","False","0",""
"security.trust_ledger_expansion","security","high","False","0",""
"security.vulnerability_intelligence","security","high","False","0",""
"space.aerospace_test_labs","space","high","False","0",""
"space.aviation_systems","space","high","False","0",""
"space.flight_data_intelligence","space","high","False","0",""
"space.ground_stations","space","high","False","0",""
"space.launch_tracking","space","high","False","0",""
"space.mission_planning","space","high","False","0",""
"space.orbital_analysis","space","high","False","0",""
"space.rover_systems","space","high","False","0",""
"space.satellite_intelligence","space","high","False","0",""
"space.spacecraft_systems","space","high","False","0",""
"space.uas_uav_systems","space","high","False","0",""
"trust.fake_review_filter","trust","high","False","0",""
"trust.feature_gap_analysis","trust","high","False","0",""
"trust.user_complaint_analysis","trust","high","False","0",""
"trust.vetted_feature_reviews","trust","high","False","0",""
"visual_studio.affinity_like_pro_editing","visual_studio","high","False","0",""
"visual_studio.canva_like_design","visual_studio","high","False","0",""
"visual_studio.capcut_like_media_handoff","visual_studio","high","False","0",""
"visual_studio.figma_like_collaboration","visual_studio","high","False","0",""
"visual_studio.gimp_like_open_tools","visual_studio","high","False","0",""
"visual_studio.lightroom_like_adjustments","visual_studio","high","False","0",""
"visual_studio.photoshop_like_precision","visual_studio","high","False","0",""
"visual_studio.picsart_like_social_editing","visual_studio","high","False","0",""
"visual_studio.snapseed_like_mobile_editing","visual_studio","high","False","0",""
